[2019/04/14 14:26:08][INFO][validateString]  {"input":"vEaElOlVGVtmnNltLXhwkrsapGeUDfpsTGGKetwADQklCVcgJOUzItxTXkvMiORyfKxeqQyMirfIQHzfYLByZaVMplBQgUOxsMfFierTbYKovSqenKzKtyunfGplpJsSEU PoiOdAgvaHZNkxLlgxJYgrcEBEhEOAMJRjuhVqmiewJJAHFCTAcrDuKZdXtePTjbiKsXJkYEcHUZqSQDAYKIfALqoxKDK aOXlFTVZyKtiXSkxWilQimbrHvhGJtGcQrkzlFhjRcEdeKiAdGneaKTRylJCaoF k k","len":15}

[2019/04/14 14:26:08][INFO][validateString]  Mapping JSON to request model
[2019/04/14 14:26:08][INFO][isValidLength]  Validate length == number of words in sentence
[2019/04/14 14:26:08][INFO][isValidLength]  Validate length == number of words in sentence
[2019/04/14 14:26:08][INFO][validateString]  Sentence length does not match inputted len.
[2019/04/14 14:26:08][INFO][validateString]  Sentence was NOT entered into database.
[2019/04/14 14:26:08][INFO][validateString]  Received request to validate sentence.
[2019/04/14 14:26:08][INFO][validateString]  {"invalid-input":"okZXNNBgczvjgkRjyIrFQKSghEEyYbCyYwpBOUpdTFHXmKQhfGFaRIphUofRSujxdoBzMVRDGAVADdlbTHmiJXepuwNRwkWMIuPdrIpXkwzAHXxRfuzsmjKyOsqmVpQazkbVZuazmuckxOpAwEOvirKmZaXGQJhRnKRDQcBuyPtxlHziucfZnFZayOOopnPlzsehrDGhWAlULPgJiOkLhczn faLcFolRlOEScLNgXgbIKavOkiPdUoUUpManIoAgntivLKKMMGzcIrhOfoKdpEzVaFqLihVxoq Y DpPMwoxkSeRDGowE aUPxJkfCSme J","invalid-len":6}
[2019/04/14 14:26:08][INFO][validateString]  Mapping JSON to request model
[2019/04/14 14:26:08][WARNING][validateString]  Unable to map JSON to POJO.
[2019/04/14 14:26:08][INFO][validateString]  JSON not in correct format..
[2019/04/14 14:26:08][INFO][validateString]  Sentence was NOT entered into database.
[2019/04/14 14:26:08][INFO][validateString]  Received request to validate sentence.
[2019/04/14 14:26:08][INFO][validateString]  {"input":"SbtiQBgowucYtIVvjUIvMgazxKuHMaCbKKFOxgeWAiSdFXlzvUPoDsGbsulgWnKodwhArkOPavMhzNcHmHKWggwlyELfzWhCTArAtlqaReawWSSSmwxislIYnyPGxOuonreTpQCXxSuWphRGLNHvVuIpdeiaqivzXIBIxJrTPpcLaCBdqEYIEnoepBFQWdwRGDPMEmPMwweqYsoULLbBtXGwzZulK KMkrdlMhHUrabGxbtFHYFezMUZwBQXumMkAzQPDjurDSlOTcCYsDxcsNMBcZlEQffnSHEoJySWnZlPTVvEHVYITHlNlEHNkOWzDE k"}
[2019/04/14 14:26:08][INFO][validateString]  Mapping JSON to request model
[2019/04/14 14:26:08][WARNING][validateString]  Unable to map JSON to POJO.
